                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8203,                 4.8601,                 4.3563,                0.00124,                0.28481,                0.00293,                0.00116,                 3.9271,                 5.0892,                 4.1599,                0.00018,                0.00018,                0.00018
                      2,                 3.5398,                 4.5487,                 4.2528,                0.00129,                0.29114,                0.00535,                0.00128,                 3.9267,                 5.0698,                 4.1613,             0.00037875,             0.00037875,             0.00037875
                      3,                 3.5319,                 4.4821,                 4.1848,                0.00129,                0.29747,                0.00211,                0.00071,                 3.9242,                 5.0203,                 4.1655,             0.00057617,             0.00057617,             0.00057617
                      4,                 3.4332,                 4.3695,                 4.0864,                 0.0013,                 0.3038,                0.00212,                 0.0007,                 3.9208,                 4.9059,                 4.1738,             0.00077228,             0.00077228,             0.00077228
                      5,                 3.4735,                 4.1748,                 3.9575,                0.00122,                0.29114,                0.00163,                0.00062,                 3.9215,                 4.7275,                 4.1911,             0.00096706,             0.00096706,             0.00096706
                      6,                 3.2746,                 3.9367,                 3.7568,                0.00111,                0.26582,                0.00164,                0.00055,                 4.0067,                 4.5853,                 4.2602,              0.0011605,              0.0011605,              0.0011605
                      7,                  3.254,                 3.9799,                  3.619,                0.00219,                0.21519,                0.00225,                0.00093,                 3.9824,                  4.625,                 4.2711,              0.0013527,              0.0013527,              0.0013527
                      8,                 2.9658,                 3.6054,                 3.4585,                0.00292,                0.22785,                0.00287,                0.00118,                 3.9579,                 4.5865,                 4.3513,              0.0015435,              0.0015435,              0.0015435
                      9,                 3.0389,                 3.5691,                 3.4304,                0.00307,                 0.1962,                0.00293,                0.00123,                 3.9058,                  4.529,                 4.3532,               0.001733,               0.001733,               0.001733
                     10,                 2.7688,                 3.4595,                 3.2573,                0.00292,                0.32911,                0.00254,                  0.001,                 3.5663,                 4.3192,                 3.8661,              0.0019212,              0.0019212,              0.0019212
                     11,                 2.9193,                 3.4542,                 3.2064,                0.00351,                0.62025,                0.01279,                  0.004,                 3.0836,                 3.9234,                 3.4437,               0.001934,               0.001934,               0.001934
                     12,                 2.8991,                 3.3329,                 3.2267,                0.07757,                0.01899,                0.03321,                0.00946,                 2.9952,                 3.8494,                 4.1187,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.8756,                 3.3421,                 3.1496,                0.19077,                0.01899,                0.06514,                0.01976,                 2.9349,                 3.7115,                 3.5479,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.8428,                 3.1346,                 3.1298,                0.23274,                0.21519,                0.15296,                0.04854,                 2.8132,                 3.2157,                 3.2551,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.8216,                  3.176,                 3.1186,                0.23454,                0.23418,                0.16269,                0.04064,                 2.6989,                 3.7746,                 3.0735,              0.0019076,              0.0019076,              0.0019076
                     16,                  2.654,                 3.0912,                 2.9873,                0.24537,                0.31646,                0.17294,                0.06891,                 2.4612,                 3.2202,                 2.8842,               0.001901,               0.001901,               0.001901
                     17,                 2.7483,                 2.9102,                 2.9798,                0.28519,                0.13924,                0.12759,                0.04263,                 2.5398,                 3.2483,                 2.9202,              0.0018944,              0.0018944,              0.0018944
                     18,                    2.6,                 2.9543,                 2.8811,                0.29062,                0.20253,                0.13669,                0.04621,                 2.4916,                 3.6594,                 3.0146,              0.0018878,              0.0018878,              0.0018878
