                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.639,                 5.3474,                  4.219,                0.00067,                0.17367,                0.00101,                0.00038,                  3.817,                 5.8567,                 4.1525,             0.00065116,             0.00065116,             0.00065116
                      2,                  3.476,                 4.6991,                 3.9437,                0.00106,                0.10924,                0.00089,                0.00034,                 3.8243,                  5.212,                 4.2632,              0.0013048,              0.0013048,              0.0013048
                      3,                 3.1811,                 4.3005,                 3.5673,                0.06779,                0.09664,                0.01909,                0.00437,                 3.0491,                 5.8246,                 3.7607,              0.0019452,              0.0019452,              0.0019452
                      4,                 2.9996,                 3.8811,                  3.377,                0.04992,                0.08543,                0.01762,                0.00445,                 3.0553,                 7.6808,                 3.6305,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.8981,                 3.6296,                 3.1958,                0.12913,                0.13585,                0.05077,                0.01455,                 2.7785,                  9.127,                 3.5635,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.7944,                 3.4746,                 3.0787,                0.14768,                0.10084,                0.04773,                0.01786,                 2.8215,                 5.2733,                 3.1931,               0.001901,               0.001901,               0.001901
                      7,                 2.8128,                 3.4307,                 2.9969,                0.12694,                0.14706,                0.05508,                 0.0172,                 2.6052,                 3.3183,                 2.8528,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.8073,                 3.2178,                 2.9381,                0.15418,                0.13585,                0.05502,                0.01913,                 2.6796,                 3.3482,                 2.8133,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6967,                 3.1728,                 2.8715,                0.15044,                0.18347,                0.08116,                0.02818,                 2.5157,                 3.6122,                 2.7101,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.6187,                 3.0001,                 2.7729,                0.19164,                 0.2423,                0.10691,                 0.0405,                 2.4236,                 2.9848,                  2.702,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.6038,                 2.8688,                 2.7355,                0.18351,                0.17367,                0.10102,                0.03509,                 2.4627,                 3.0083,                 2.5583,               0.001802,               0.001802,               0.001802
                     12,                 2.5945,                 2.9316,                 2.6885,                 0.2044,                0.20168,                0.10287,                0.02795,                  2.623,                 2.9542,                 2.6441,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.6083,                 2.8765,                 2.6709,                0.22592,                0.19416,                0.11814,                0.03816,                 2.4606,                 2.7153,                 2.5356,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.5912,                 2.7285,                 2.5949,                0.17685,                0.16369,                0.08602,                0.02928,                 2.4918,                 2.9755,                 2.5999,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.4888,                 2.6499,                  2.497,                0.26752,                0.29054,                0.17943,                0.05847,                 2.4238,                 2.6812,                 2.4208,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.498,                 2.5984,                 2.5393,                0.21704,                0.23389,                0.11418,                 0.0406,                 2.3858,                  2.779,                 2.4778,               0.001703,               0.001703,               0.001703
                     17,                 2.4766,                 2.6204,                 2.4641,                0.26559,                0.28011,                0.18353,                0.06605,                 2.3126,                 2.4449,                 2.3445,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.4312,                 2.5301,                 2.4461,                0.22992,                0.31793,                0.17488,                0.06228,                 2.2898,                  2.412,                  2.335,              0.0016634,              0.0016634,              0.0016634
