                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2478,                 4.6649,                 4.2299,                 0.0015,                0.37956,                0.00795,                0.00265,                 3.3131,                 6.2549,                 4.1584,                0.00014,                0.00014,                0.00014
                      2,                 3.1914,                 4.6491,                 4.2064,                0.00156,                0.38686,                0.00695,                0.00185,                 3.3109,                 6.2588,                 4.1548,             0.00029901,             0.00029901,             0.00029901
                      3,                 3.3109,                 4.5134,                 4.1659,                0.00152,                0.37956,                0.00674,                0.00178,                 3.3083,                 6.2399,                 4.1488,             0.00045696,             0.00045696,             0.00045696
                      4,                 3.2666,                 4.4858,                 4.1494,                0.00154,                0.38686,                0.00343,                0.00135,                  3.304,                 6.1749,                 4.1364,             0.00061386,             0.00061386,             0.00061386
                      5,                 3.2638,                 4.4825,                 4.1336,                0.00151,                0.37956,                0.00323,                0.00133,                 3.2997,                 6.0732,                 4.1199,              0.0007697,              0.0007697,              0.0007697
                      6,                  3.122,                 4.3372,                  4.073,                0.00151,                0.37956,                0.00312,                0.00125,                 3.2934,                 5.8667,                 4.1042,             0.00092449,             0.00092449,             0.00092449
                      7,                 3.1953,                  4.369,                 4.0163,                0.00154,                0.38686,                0.00321,                0.00134,                 3.2865,                 5.6824,                 4.0946,              0.0010782,              0.0010782,              0.0010782
                      8,                 3.1987,                 4.1373,                 3.9936,                0.00156,                0.39416,                0.00324,                0.00133,                 3.2496,                 5.3297,                 4.0447,              0.0012309,              0.0012309,              0.0012309
                      9,                 3.1837,                 4.1549,                   3.91,                0.00149,                0.37956,                0.00351,                0.00127,                 3.2507,                 5.1218,                 3.9979,              0.0013825,              0.0013825,              0.0013825
                     10,                 3.3358,                 4.1934,                 3.8179,                0.00153,                0.33577,                0.00299,                0.00102,                 3.3696,                 5.0062,                 4.1014,              0.0015331,              0.0015331,              0.0015331
                     11,                 3.0095,                 4.0822,                  3.731,                0.00154,                0.39416,                0.00376,                0.00127,                 3.1839,                 4.8384,                 4.3868,              0.0016826,              0.0016826,              0.0016826
